排名	name	run_time	上线时间	注册资本	地区	待收金额	涉及人数	事件类型
1	中润e在线	2016.04	2015.11	1000.00万元	山东	-	-	跑路
2	8号金铺	2016.04	2016.03	5000.00万元	浙江	-	-	跑路
3	百利汇通	2016.04	2015.09	12000.00万元	浙江	-	-	停业
4	金蟾在线	2016.04	2014.11	1000.00万元	贵州	-	-	提现困难
5	海英财富	2016.04	2015.04	3000.00万元	广东	-	-	跑路
6	聚金汇财	2016.04	2014.12	500.00万元	山东	-	-	跑路
7	融途e贷	2016.04	2014.12	3000.00万元	黑龙江	-	-	停业
8	糖糖贷	2016.04	2015.07	1000.00万元	江苏	-	-	停业
9	A+理财	2016.04	2015.11	6000.00万元	安徽	-	-	停业
10	国惠金融	2016.04	2015.03	5000.00万元	广东	-	-	提现困难
11	放心贷	2016.04	2015.04	1000.00万元	北京	-	-	提现困难
12	e生财富	2016.04	2013.09	5000.00万元	广东	-	-	提现困难
13	贷贷好	2016.04	2014.04	5000.00万元	广东	-	-	停业
14	我投点	2016.04	2014.11	10000.00万元	北京	-	-	跑路
15	盛开网	2016.04	2014.02	1000.00万元	广东	-	-	跑路
16	金融街	2016.04	2014.06	1000.00万元	黑龙江	-	-	停业
17	悦投融	2016.04	2014.01	1000.00万元	广东	-	-	停业
18	财源宝	2016.04	2014.03	10000.00万元	黑龙江	-	-	提现困难
19	福润融通	2016.04	2015.01	1500.00万元	山东	-	-	跑路
20	水金所	2016.04	2015.12	10000.00万元	北京	-	-	跑路
21	川金贷	2016.04	2015.12	5000.00万元	宁夏	-	-	跑路
22	友利汇	2016.04	2015.08	1000.00万元	江苏	-	-	跑路
23	利多财富	2016.04	2014.06	500.00万元	河北	-	-	停业
24	冀鑫财富	2016.04	2015.07	1100.00万元	河北	-	-	跑路
25	中续投资	2016.04	2014.11	2500.00万元	广东	-	-	跑路
26	金赋财富	2016.04	2015.11	3000.00万元	山东	-	-	跑路
27	远虑财富	2016.04	2015.11	603.00万元	江苏	-	-	停业
28	润恒贷	2016.04	2014.10	5100.00万元	河南	-	-	停业
29	财智魔方	2016.04	2014.07	300.00万元	河南	-	-	跑路
30	点点贷	2016.04	2011年	200.00万元	湖南	-	-	提现困难
31	锦如金融	2016.04	2015.06	5000.00万元	云南	-	-	停业
32	诚壹贷	2016.04	2014.03	200.00万元	广东	-	-	停业
33	融100	2016.04	2015.03	5000.00万元	广东	-	-	停业
34	鼓腰包	2016.04	2014.11	5000.00万元	四川	-	-	停业
35	爱优益	2016.03	2015.07	6000.00万元	江苏	-	-	跑路
36	沪联在线	2016.03	2014.04	1000.00万元	上海	-	-	跑路
37	大米金融	2016.03	2015.07	1000.00万元	四川	-	-	跑路
38	微财金融	2016.03	2016.01	5000.00万元	江苏	-	-	提现困难
39	贝米在线	2016.03	2016.01	20000.00万元	吉林	-	-	跑路
40	永贷宝	2016.03	2015.03	3000.00万元	河南	-	-	跑路
41	中银汇通	2016.03	2014.12	1088.00万元	安徽	-	-	停业
42	优财树	2016.03	2014.06	1000.00万元	北京	-	-	跑路
43	瑞安贷	2016.03	2014.05	880.00万元	浙江	-	-	停业
44	惠龙贷	2016.03	2015.02	1200.00万元	四川	-	-	停业
45	星理财	2016.03	2014.08	10000.00万元	湖北	-	-	停业
46	一辰创投	2016.03	2015.08	5000.00万元	山东	-	-	跑路
47	财源网	2016.03	2014.03	10000.00万元	黑龙江	-	-	提现困难
48	信乐贷	2016.03	2015.03	6000.00万元	北京	-	-	跑路
49	安鑫金融	2016.03	2015.02	5555.00万元	陕西	-	-	跑路
50	乾融易贷	2016.03	2014.12	1000.00万元	湖北	-	-	停业
51	金口袋	2016.03	2014.06	1000.00万元	广东	-	-	跑路
52	豫麟创投	2016.03	2015.06	1650.00万元	河南	-	-	跑路
53	角分在线	2016.03	2015.11	10000.00万元	上海	-	-	停业
54	银淦诚	2016.03	2016.03	1000.00万元	山西	-	-	跑路
