label,name,score
0,中融投,1.0
0,你好贷,1.0
0,邦帮堂,1.0
0,放心贷,1.0
0,钱途在线,1.0
0,睿信贷,1.0
0,懒投资,1.0
0,车e融,1.0
0,e趣钱袋,1.0
0,海投汇,1.0
0,住永金融,1.0
1,融资贷,1.0
0,优微贷,1.0
0,如意财富,1.0
0,私房钱,1.0
0,万家贷,1.0
0,恒易融,1.0
0,广佛e家,1.0
0,融资易,1.0
0,聚火投资,1.0
0,1818优本财富,1.0
0,三益宝,1.0
0,金玉普惠,1.0
0,友金所,1.0
0,宏泰网,1.0
0,汇投资,1.0
0,钱程在线,1.0
0,金钥匙钱道,1.0
0,安心de利,1.0
0,助赢普惠,1.0
0,口碑贷,1.0
0,众信金融(京),1.0
0,百达金融,0.99
1,利他人,0.99
0,微车融,0.99
0,宜保通贷,0.99
0,麻袋理财,0.99
0,民爱贷,0.99
0,我投点,0.99
0,金柿子,0.99
0,粒子财富,0.99
0,可投可贷,0.99
0,聚福鑫,0.99
0,仓储贷,0.99
0,壹理财,0.99
0,点金融,0.99
0,信德过,0.99
0,钱道网,0.99
0,金牛在线,0.99
0,西域财富,0.99
0,海英财富,0.99
0,金票通,0.99
0,利巨人,0.99
0,墨竹轩电子,0.99
0,普资华企,0.99
0,千壹理财,0.99
0,精融汇,0.99
0,九信金融,0.99
0,360金融,0.99
0,爱利是,0.99
0,汇金益,0.99
0,钱增增,0.99
0,普惠理财,0.99
0,兢业贷,0.99
0,汉金所,0.99
0,爱财在线,0.99
0,宏鑫宝,0.99
0,壹宝贷,0.99
0,旺财谷,0.99
0,金柜贷,0.99
0,银亿通网贷,0.99
0,兴中宝,0.99
0,光合种子,0.99
0,金麦子,0.99
0,财富观,0.99
0,牛娃互联网金融,0.99
0,金砖普惠,0.99
0,久金所,0.99
0,合银创投,0.99
0,微融网,0.99
0,爱钱帮,0.99
0,华策在线,0.99
0,金二代,0.99
0,果儿金融,0.99
0,普惠无忧,0.99
0,酷融贷,0.99
0,e兴金融,0.99
0,乐驰金服,0.99
0,融之家,0.99
0,大拇哥财富,0.99
0,彩麒麟,0.99
0,睿信财富,0.99
0,实在贷,0.99
0,三好贷,0.99
0,金联储,0.99
0,连盈贷,0.99
0,广州e贷,0.99
0,君融贷,0.99
0,信投在线,0.99
0,金油所,0.99
0,泛湾天域,0.99
0,瑞钱宝,0.99
0,富瑞财富,0.99
0,长江创投,0.98
0,汉沃财富,0.98
0,车融资,0.98
0,小猪罐子,0.98
0,糖果金融,0.98
1,芝麻金融,0.98
0,中贝金融,0.98
0,久融金融,0.98
0,渝都贷,0.98
0,信用宝,0.98
0,旺宝财富,0.98
0,祺天优贷,0.98
0,元宝365,0.98
0,蜂投网,0.98
0,房融所,0.98
0,可乐贷,0.98
0,星时代金融,0.98
0,众易贷,0.98
0,中东资本,0.98
0,大王理财,0.98
0,融贝网,0.98
0,赶贷网,0.98
0,钱来啦,0.98
0,善行创投,0.98
0,立业贷,0.98
0,铜掌柜,0.98
0,湛卢宝,0.98
0,运盈e贷,0.98
0,趣钱,0.98
0,亿富贷,0.98
0,钱布袋,0.98
0,E贝贷,0.98
0,小存折,0.98
0,去投网,0.98
0,医购贷,0.98
0,超钻金融,0.98
0,蚂蚁打的,0.98
0,知商金融,0.98
0,库天下,0.98
0,穗金所,0.98
0,汇投网,0.98
0,十六铺金融,0.98
0,金钥匙网贷,0.98
0,在理财,0.98
0,银巴克,0.98
0,天玺金融,0.98
0,隆筹金融,0.98
0,阿凡达e贷,0.98
0,共赢时贷,0.98
0,绿化贷,0.98
0,长征金融,0.98
0,中瑞财富,0.98
0,e路同心,0.98
0,龙贷,0.98
0,潮人贷,0.98
0,实实贷,0.98
0,乐金所,0.98
0,千店贷,0.98
0,浙楚金融,0.98
0,融通资产,0.98
0,金福财富,0.98
0,天池资本,0.98
0,格林易贷,0.98
0,学信贷,0.98
0,百融网,0.98
0,万富宝,0.98
0,人文贷,0.98
0,投资吧,0.98
0,丰收贷理财,0.98
0,合伙人,0.98
0,京都贷,0.98
0,投资啦,0.97
0,鑫悦贷,0.97
0,亿钱贷,0.97
0,民生转赚,0.97
0,短融网,0.97
0,搜易贷,0.97
0,合时代,0.97
0,钱香,0.97
0,融众财富,0.97
0,易保利,0.97
0,蜗牛客,0.97
0,河马在线,0.97
0,润锦众成,0.97
0,金砖联合,0.97
0,多多智富,0.97
0,融投贷,0.97
0,聚投融,0.97
0,乐投壹佰,0.97
0,简易贷,0.97
0,隆隆网,0.97
0,好利网,0.97
0,安信聚贷,0.97
0,橙旗贷,0.97
0,鼠贷金融,0.97
0,胖毛在线,0.97
0,锐盈财富,0.97
0,楚财友道,0.97
0,银魅财富,0.97
1,中银号,0.97
0,速贷融创,0.97
0,能成财富,0.97
0,一一贷,0.97
0,银票网,0.97
0,金益金服,0.97
0,微金易贷,0.97
0,襄金所,0.97
0,爱财狼,0.97
0,融租E投,0.97
0,小鹅网,0.97
0,金梧桐,0.97
0,亿信宝,0.97
0,信客网,0.97
0,致盈贷,0.97
0,望洲易贷,0.97
0,蚂蚁白领,0.97
0,冰川财富,0.97
0,明志在线,0.97
0,互助金服,0.97
0,饭盒金服,0.97
0,易合贷,0.97
0,欧拉宝,0.97
0,麦麦提,0.97
0,多赢,0.97
0,前海红筹,0.97
0,贷贷网,0.97
0,爱财有道,0.97
0,启腾财富,0.97
0,飞特金融,0.97
0,金融一号店,0.97
0,徽融通,0.97
0,九坤贷,0.97
0,希望金融,0.97
0,小小理财,0.97
0,红象金融,0.97
0,壹金所,0.97
0,大博鑫财富,0.97
1,建辉贷,0.97
0,东方汇,0.97
0,协众金融,0.97
0,家合资本,0.97
0,金金宝,0.97
0,产融贷,0.97
0,华夏银泰,0.97
0,投牛网,0.97
0,建安金融,0.97
0,钱趣网,0.97
0,利盈贷,0.97
0,公明贷,0.97
0,mM贷,0.97
0,可溯贷,0.97
0,手投网,0.97
0,投德宝,0.97
0,利众e贷,0.96
0,国富通,0.96
0,徽金所,0.96
0,黄金街,0.96
0,利得行,0.96
0,钻库网,0.96
0,骑士贷,0.96
0,多宝贷,0.96
0,房金所,0.96
0,首鸿财富,0.96
0,达飞贷,0.96
1,汇商贷,0.96
0,喵喵客,0.96
0,酷宝盒,0.96
0,甜菜金融,0.96
0,易天贷,0.96
0,钱胖胖,0.96
0,利人金融（沪）,0.96
0,首E家,0.96
0,宝象金融,0.96
0,车富88,0.96
0,握握贷,0.96
0,鲁金所,0.96
0,道口贷,0.96
0,轻创贷,0.96
0,54贷客,0.96
0,比亮贷,0.96
0,中融宝,0.96
0,众投未来,0.96
0,豫麟创投,0.96
0,百利市,0.96
0,民宝贷,0.96
0,网利宝,0.96
1,积财99,0.96
0,链家理财,0.96
0,聚车金融,0.96
0,典金所,0.96
0,拓道金服,0.96
0,苏银财富,0.96
0,京金联,0.96
1,基石在线·网贷,0.96
0,融信网,0.96
0,众利网,0.96
0,红海贷,0.96
0,外星人理财,0.96
0,领投羊,0.96
0,新纪元财富,0.96
1,安穗金融,0.96
0,得融在线,0.96
0,秒贷网,0.96
0,联金所,0.96
1,九州宏瑞,0.96
0,金融圈,0.96
0,微投天下,0.96
1,互利贷,0.96
0,金瑞龙,0.96
1,易街金融,0.96
1,中金在线,0.96
0,秦沪贷,0.96
0,中鼎在线,0.96
0,好又贷,0.96
0,为为贷,0.96
0,证大e贷,0.96
0,千金e诺,0.96
0,第一房贷,0.96
0,鑫金所,0.96
0,泰山宝,0.96
1,成融理财,0.96
0,懒猪理财,0.96
0,玖融网,0.96
0,中恒宝,0.96
1,融创财富,0.96
0,桔子理财,0.96
0,增值e,0.96
0,青蚨在线,0.96
1,鑫茂创投,0.96
0,小狗钱钱,0.96
0,91旺财,0.96
0,e元贷,0.96
0,沃联财富,0.96
0,全球贷,0.96
0,点车成金,0.96
0,胖胖猪,0.96
0,利好贷,0.96
0,共富网,0.96
0,乾贷网,0.96
0,布袋资产,0.96
1,弘文贷,0.96
0,新博贷,0.96
0,超银网贷,0.96
0,中融通贷,0.96
1,金中信,0.9533333333333334
0,优车融,0.95
0,众信所,0.95
1,盈天下,0.95
0,东泽财富,0.95
0,易BANK,0.95
0,招财网,0.95
0,富田在线,0.95
0,e人e贷,0.95
0,顺顺贷,0.95
1,合互贷,0.95
0,润合金融,0.95
0,收获宝,0.95
0,中业兴融,0.95
0,银合金融,0.95
0,智富360,0.95
0,雍和金融,0.95
0,信投财富,0.95
0,有米贷,0.95
0,投宝金融,0.95
0,信可贷,0.95
0,道口金融网,0.95
0,聚有财,0.95
